chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
273000,2730000000,73089995,13631587,0 days 03:19:30.990821,10.61
274000,2740000000,73341740,13645152,0 days 03:20:09.377954,10.64
275000,2750000000,73584302,13658647,0 days 03:20:47.587025,10.67
276000,2760000000,73844091,13672737,0 days 03:21:27.402710,10.69
277000,2770000000,74121028,13686046,0 days 03:22:05.383698,10.72
278000,2780000000,74366862,13699386,0 days 03:22:43.541905,10.74
279000,2790000000,74624349,13713503,0 days 03:23:25.039073,10.76
280000,2800000000,74902781,13728046,0 days 03:24:04.810573,10.79
281000,2810000000,75156794,13741490,0 days 03:24:41.815311,10.82
282000,2820000000,75395892,13755322,0 days 03:25:21.934124,10.84
283000,2830000000,75695804,13769338,0 days 03:25:59.949218,10.87
284000,2840000000,75941347,13782953,0 days 03:26:37.902746,10.9
285000,2850000000,76203939,13797573,0 days 03:27:16.661610,10.92
286000,2860000000,76483049,13812036,0 days 03:27:54.329705,10.95
287000,2870000000,76713185,13824930,0 days 03:28:30.221658,10.97
288000,2880000000,76933469,13838694,0 days 03:29:09.313465,10.99
289000,2890000000,77171003,13852472,0 days 03:29:47.365323,11.02
290000,2900000000,77425981,13866497,0 days 03:30:25.769703,11.04
291000,2910000000,77619672,13879364,0 days 03:31:02.498430,11.06
292000,2920000000,77875675,13892814,0 days 03:31:40.832614,11.09
293000,2930000000,78110111,13906898,0 days 03:32:19.108622,11.11
294000,2940000000,78351083,13920655,0 days 03:32:57.696895,11.13
295000,2950000000,78585313,13934768,0 days 03:33:37.594069,11.15
296000,2960000000,78841497,13948790,0 days 03:34:17.152307,11.18
297000,2970000000,79067406,13962784,0 days 03:34:56.438983,11.2
298000,2980000000,79275022,13977679,0 days 03:35:36.992881,11.22
299000,2990000000,79478112,13991343,0 days 03:36:15.283209,11.24
300000,3000000000,79721155,14006157,0 days 03:36:56.735011,11.27
301000,3010000000,79934158,14020447,0 days 03:37:38.877039,11.29
302000,3020000000,80141510,14034456,0 days 03:38:18.466690,11.31
303000,3030000000,80350721,14047982,0 days 03:38:57.130818,11.33
304000,3040000000,80529937,14060718,0 days 03:39:33.373372,11.35
305000,3050000000,80717177,14074054,0 days 03:40:10.735039,11.36
306000,3060000000,80918364,14088114,0 days 03:40:51.920386,11.38
307000,3070000000,81118660,14103069,0 days 03:41:33.398189,11.4
308000,3080000000,81313860,14117473,0 days 03:42:14.483754,11.42
309000,3090000000,81515692,14132089,0 days 03:42:55.000323,11.44
310000,3100000000,81717605,14146257,0 days 03:43:35.516897,11.46
311000,3110000000,81921368,14160505,0 days 03:44:16.072748,11.48
312000,3120000000,82129466,14174430,0 days 03:44:55.534012,11.5
313000,3130000000,82328543,14188000,0 days 03:45:35.659401,11.52
